iter	Passed	Remaining
803	58558	14275
804	58641	14205
805	58705	14130
806	58781	14058
807	58853	13985
808	58937	13914
809	59004	13840
810	59070	13766
811	59152	13695
812	59220	13621
813	59305	13551
814	59380	13478
815	59459	13407
816	59539	13336
817	59624	13265
818	59694	13192
819	59767	13119
820	59854	13049
821	59918	12975
822	60006	12905
823	60082	12833
824	60166	12762
825	60240	12689
826	60308	12615
827	60374	12541
828	60450	12469
829	60518	12395
830	60600	12324
831	60684	12253
832	60747	12178
833	60830	12107
834	60919	12037
835	61001	11966
836	61072	11893
837	61131	11817
838	61206	11745
839	61278	11672
840	61346	11598
841	61423	11525
842	61488	11451
843	61560	11378
844	61636	11306
845	61691	11229
846	61762	11156
847	61835	11083
848	61911	11011
849	61980	10937
850	62056	10865
851	62112	10789
852	62178	10715
853	62247	10641
854	62317	10568
855	62396	10496
856	62463	10422
857	62524	10347
858	62599	10275
859	62676	10203
860	62736	10128
861	62815	10056
862	62879	9982
863	62945	9908
864	63005	9833
865	63073	9759
866	63141	9686
867	63203	9611
868	63274	9538
869	63323	9462
870	63407	9390
871	63483	9318
872	63553	9245
873	63626	9172
874	63707	9101
875	63775	9027
876	63846	8954
877	63926	8882
878	64002	8810
879	64081	8738
880	64152	8665
881	64221	8591
882	64299	8519
883	64368	8446
884	64433	8372
885	64504	8299
886	64588	8228
887	64656	8154
888	64731	8082
889	64794	8008
890	64865	7935
891	64935	7862
892	65007	7789
893	65078	7716
894	65148	7643
895	65226	7570
896	65304	7498
897	65375	7425
898	65452	7353
899	65524	7280
900	65602	7208
901	65678	7135
902	65737	7061
903	65803	6987
904	65881	6915
905	65955	6843
906	66035	6770
907	66109	6698
908	66194	6626
909	66280	6555
910	66354	6482
911	66428	6409
912	66505	6337
913	66587	6265
914	66677	6194
915	66752	6121
916	66832	6049
917	66890	5974
918	66949	5900
919	67024	5828
920	67100	5755
921	67164	5682
922	67249	5610
923	67332	5538
924	67400	5464
925	67474	5392
926	67555	5319
927	67629	5247
928	67706	5174
929	67789	5102
930	67859	5029
931	67921	4955
932	67992	4882
933	68069	4810
934	68131	4736
935	68205	4663
936	68270	4590
937	68339	4517
938	68415	4444
939	68490	4371
940	68558	4298
941	68640	4226
942	68714	4153
943	68790	4080
944	68871	4008
945	69027	3940
946	69104	3867
947	69378	3805
948	69539	3737
949	69633	3664
950	69709	3591
951	69791	3518
952	69866	3445
953	69951	3372
954	70019	3299
955	70083	3225
956	70151	3152
957	70226	3078
958	70300	3005
959	70373	2932
960	70460	2859
961	70521	2785
962	70597	2712
963	70663	2638
964	70735	2565
965	70801	2491
966	70870	2418
967	70945	2345
968	71009	2271
969	71077	2198
970	71171	2125
971	71254	2052
972	71327	1979
973	71395	1905
974	71478	1832
975	71550	1759
976	71618	1685
977	71682	1612
978	71747	1539
979	71816	1465
980	71891	1392
981	71958	1318
982	72035	1245
983	72103	1172
984	72189	1099
985	72258	1025
986	72334	952
987	72410	879
988	72483	806
989	72556	732
990	72627	659
991	72686	586
992	72755	512
993	72830	439
994	72915	366
995	72995	293
996	73064	219
997	73148	146
998	73225	73
999	73302	0
